Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Ezra,2,9,"בני זכי שבע מאות וששים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Zaccai—760;,Ninguno
Ezra,2,10,"בני בני שש מאות ארבעים ושנים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Bani—642;,Ninguno
Ezra,2,11,"בני בבי שש מאות עשרים ושלשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Bebai—623;,Ninguno
Ezra,2,12,"בני עזגד אלף מאתים עשרים ושנים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","the sons of Azgad—1,222; ",Ninguno
Ezra,2,13,"בני אדניקם שש מאות ששים וששה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Adonikam—666;,Ninguno
Ezra,2,14,"בני בגוי אלפים חמשים וששה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","the sons of Bigvai—2,056; ",Ninguno
Ezra,2,15,"בני עדין ארבע מאות חמשים וארבעה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Adin—454;,Ninguno
Ezra,2,16,"בניאטר ליחזקיה תשעים ושמנה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Ater: Hezekiah—98;,Ninguno
Ezra,2,17,"בני בצי שלש מאות עשרים ושלשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Bezai—323;,Ninguno
Ezra,2,18,"בני יורה מאה ושנים עשר&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Jorah—112;,Ninguno
Ezra,2,19,"בני חשם מאתים עשרים ושלשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Hashum—223;,Ninguno
Ezra,2,20,"בני גבר תשעים וחמשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Gibbar—95;,Ninguno
Ezra,2,21,"בני ביתלחם מאה עשרים ושלשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Bethlehem—123;,Ninguno
Ezra,2,22,"אנשי נטפה חמשים וששה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the participants from Netophah—56;,Ninguno
Ezra,2,23,"אנשי ענתות מאה עשרים ושמנה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the participants from Anathoth—128;,Ninguno
Ezra,2,24,"בני עזמות ארבעים ושנים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Azmaveth—42;,Ninguno
Ezra,2,25,"בני קרית ערים כפירה ובארות שבע מאות וארבעים ושלשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Kiriath-arim: Chephirah and Beeroth—743;,Ninguno
Ezra,2,26,"בני הרמה וגבע שש מאות עשרים ואחד&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Ramah and Geba—621;,Ninguno
Ezra,2,27,"אנשי מכמס מאה עשרים ושנים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the participants from Michmas—122;,Ninguno
Ezra,2,28,"אנשי ביתאל והעי מאתים עשרים ושלשה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the participants from Bethel and Ai—223;,Ninguno
Ezra,2,29,"בני נבו חמשים ושנים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Nebo—52;,Ninguno
Ezra,2,30,"בני מגביש מאה חמשים וששה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Magbish—156;,Ninguno
Ezra,2,31,"בני עילם אחר אלף מאתים חמשים וארבעה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","the sons of the other Elam—1,254; ",Ninguno
Ezra,2,32,"בני חרם שלש מאות ועשרים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",the sons of Harim—320;,Ninguno
