Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Mateo,25,33,καὶ στήσει τὰ μὲν πρόβατα ἐκ δεξιῶν αὐτοῦ τὰ δὲ ἐρίφια ἐξ εὐωνύμων,"Y pondrá las ovejas a su derecha, y los cabritos a su izquierda.","Control/Derecha (Dexios), Caos/Izquierda (Euōnymos)"
Mateo,25,34,τότε ἐρεῖ ὁ βασιλεὺς τοῖς ἐκ δεξιῶν αὐτοῦ Δεῦτε...,Entonces el Rey dirá a los de su derecha: Venid...,Control/Derecha (Dexios)
Mateo,25,41,τότε ἐρεῖ καὶ τοῖς ἐξ εὐωνύμων Πορεύεσθε ἀπ' ἐμοῦ,Entonces dirá también a los de la izquierda: Apartaos de mí...,Caos/Izquierda (Euōnymos)
