Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
I_Chronicles,1,31,"יטור נפיש וקדמה אלה הם בני ישמעאל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Jetur, Naphish, and Kedmah. These are the sons of Ishmael. ",Ninguno
I_Chronicles,1,32,"ובני קטורה פילגש אברהם ילדה אתזמרן ויקשן ומדן ומדין וישבק ושוח ובני יקשן שבא ודדן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Keturah, Abraham’s concubine: she bore Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah. The sons of Jokshan: Sheba and Dedan. ",Ninguno
I_Chronicles,1,33,"ובני מדין עיפה ועפר וחנוך ואבידע ואלדעה כלאלה בני קטורה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Midian: Ephah, Epher, Enoch, Abida, and Eldaah. All these were the descendants of Keturah.",Percepción (Yada)
I_Chronicles,1,34,"ויולד אברהם אתיצחק בני יצחק עשו וישראל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",Abraham begot Isaac. The sons of Isaac: Esau and Israel.,Ninguno
I_Chronicles,1,35,"בני עשו אליפז רעואל ויעוש ויעלם וקרח&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Esau: Eliphaz, Reuel, Jeush, Jalam, and Korah. ",Ninguno
I_Chronicles,1,36,"בני אליפז תימן ואומר צפי וגעתם קנז ותמנע ועמלק&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Eliphaz: Teman, Omar, Zephi, Gatam, Kenaz, Timna, and Amalek. ",Ninguno
I_Chronicles,1,37,"בני רעואל נחת זרח שמה ומזה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Reuel: Nahath, Zerah, Shammah, and Mizzah.",Ninguno
I_Chronicles,1,38,"ובני שעיר לוטן ושובל וצבעון וענה ודישן ואצר ודישן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Seir: Lotan, Shobal, Zibeon, Anah, Dishon, Ezer, and Dishan. ",Ninguno
I_Chronicles,1,39,"ובני לוטן חרי והומם ואחות לוטן תמנע&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",The sons of Lotan: Hori and Homam; and Lotan’s sister was Timna.,Ninguno
I_Chronicles,1,40,"בני שובל עלין ומנחת ועיבל שפי ואונם ובני צבעון איה וענה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Shobal: Alian, Manahath, Ebal, Shephi, and Onam. The sons of Zibeon: Aiah and Anah. ",Ninguno
I_Chronicles,1,41,בני ענה דישון ובני דישון חמרן ואשבן ויתרן וכרן,"The sons of Anah: Dishon. The sons of Dishon: Hamran, Eshban, Ithran, and Cheran. ",Ninguno
I_Chronicles,1,42,"בניאצר בלהן וזעון יעקן בני דישון עוץ וארן&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","The sons of Ezer: Bilhan, Zaavan, and Jaakan. The sons of Dishan: Uz and Aran.",Ninguno
I_Chronicles,1,43,ואלה המלכים אשר מלכו בארץ אדום לפני מלךמלך לבני ישראל בלע בןבעור ושם עירו דנהבה,"cCf. Gen. 36.31–43. These are the kings who reigned in the land of Edom before any king reigned over the Israelites: Bela son of Beor, and the name of his city was Dinhabah. ",Ninguno
I_Chronicles,1,44,וימת בלע וימלך תחתיו יובב בןזרח מבצרה,"When Bela died, Jobab son of Zerah from Bozrah succeeded him as king. ",Ninguno
