Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Nehemiah,2,10,וישמע סנבלט החרני וטוביה העבד העמני וירע להם רעה גדלה אשרבא אדם לבקש טובה לבני ישראל,"When Sanballat the Horonite and Tobiah the Ammonite servant heard, it displeased them greatly that someone had come, intent on improving the condition of the Israelites.",Ninguno
Nehemiah,2,11,ואבוא אלירושל͏ם ואהישם ימים שלשה,I arrived in Jerusalem. After I was there three days,Ninguno
Nehemiah,2,12,ואקום&thinsp;<b></b> לילה אני ואנשים&thinsp;<small></small>&thinsp;מעט עמי ולאהגדתי לאדם מה אלהי נתן אללבי לעשות לירושל͏ם ובהמה אין עמי כי אםהבהמה אשר אני רכב בה,"I got up at night, I and a few men with me, and telling no one what my God had put into my mind to do for Jerusalem, and taking no other beast than the one on which I was riding, ",Ninguno
Nehemiah,2,13,"ואצאה בשערהגיא לילה ואלפני עין התנין ואלשער האשפת ואהי שבר בחומת ירושל͏ם אשר<span class=""mam-kq""><span class=""mam-kq-q"">[הם&thinsp;<small></small>&thinsp;פרוצים]</span> <span class=""mam-kq-k"">(המפרוצים)</span></span> ושעריה אכלו באש","I went out by the Valley Gate, at night, toward the Jackals’ Spring and the Dung Gate; and I surveyed the walls of Jerusalem that were breached, and its gates, consumed by fire. ",Ninguno
Nehemiah,2,14,ואעבר אלשער העין ואלברכת המלך ואיןמקום לבהמה לעבר תחתי,"I proceeded to the Fountain Gate and to the King’s Pool, where there was no room for the beast under me to continue. ",Ninguno
Nehemiah,2,15,ואהי עלה בנחל לילה ואהי שבר בחומה ואשוב ואבוא בשער הגיא ואשוב,"So I went up the wadi by night, surveying the wall, and, entering again by the Valley Gate, I returned. ",Ninguno
Nehemiah,2,16,והסגנים לא ידעו אנה הלכתי ומה אני עשה וליהודים ולכהנים ולחרים ולסגנים וליתר עשה המלאכה עדכן לא הגדתי,"The prefects knew nothing of where I had gone or what I had done, since I had not yet divulged it to the Jews—the priests, the nobles, the prefects, or the rest of the officials.",Percepción (Yada)
Nehemiah,2,17,ואומר אלהם אתם ראים הרעה אשר אנחנו בה אשר ירושל͏ם חרבה ושעריה נצתו באש לכו ונבנה אתחומת ירושל͏ם ולאנהיה עוד חרפה,"Then I said to them, “You see the bad state we are in—Jerusalem lying in ruins and its gates destroyed by fire. Come, let us rebuild the wall of Jerusalem and suffer no more disgrace.” ",Ninguno
Nehemiah,2,18,"ואגיד להם אתיד אלהי אשרהיא טובה עלי ואףדברי המלך אשר אמרלי ויאמרו נקום ובנינו ויחזקו ידיהם לטובה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","I told them of my God’s benevolent care for me, also of the things that the king had said to me, and they said, “Let us start building!” They were encouraged by God’s benevolence.",Ninguno
Nehemiah,2,19,וישמע סנבלט החרני וטביה&thinsp;<b></b> העבד העמוני וגשם הערבי וילעגו לנו ויבזו עלינו ויאמרו מההדבר הזה אשר אתם עשים העל המלך אתם מרדים,"When Sanballat the Horonite and Tobiah the Ammonite servant and Geshem the Arab heard, they mocked us and held us in contempt and said, “What is this that you are doing? Are you rebelling against the king?” ",Ninguno
