Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Nahum,2,8,והצב גלתה העלתה ואמהתיה מנהגות כקול יונים מתפפת עללבבהן,"And Huzzab is exiled and carried away,lAnd Huzzab is exiled and carried away Meaning of Heb. uncertain. Emendation yields “And its mistress is led out and exiled.” While her handmaidens escort [her]mescort [her] Emendation yields “moan.” As with the voices of doves,Beating their breasts.",Ninguno
Nahum,2,9,ונינוה כברכתמים מימי היא והמה נסים עמדו עמדו ואין מפנה,Nineveh has been like a [placid] pool of waterFrom earliest times;nFrom earliest times Meaning of Heb. uncertain. Now they flee.“Stop! Stop!”—But none can turn them back.,Ninguno
Nahum,2,10,בזו כסף בזו זהב ואין קצה לתכונה כבד מכל כלי חמדה,“Plunder silver! Plunder gold!”There is no limit to the treasure;It is a hoard of all precious objects.,Ninguno
Nahum,2,11,בוקה ומבוקה ומבלקה ולב נמס ופק ברכים וחלחלה בכלמתנים ופני כלם קבצו פארור,"Desolation, devastation, and destruction!Spirits sink,Knees buckle,All loins tremble,All faces turn ashen.oturn ashen Meaning of Heb. uncertain; cf. note at Joel 2.6. ",Ninguno
Nahum,2,12,איה מעון אריות ומרעה הוא לכפרים אשר הלך אריה לביא שם גור אריה ואין מחריד,"What has become of that lions’ den,That pastureppasture Emendation yields “cave.” of great beasts,Where lion and lion’s breed walked,And lion’s cub—with none to disturb them?",Ninguno
Nahum,2,13,אריה טרף בדי גרותיו ומחנק ללבאתיו וימלאטרף חריו ומענתיו טרפה,"[Where is] the lion that tore victims for its cubsAnd strangled for the lionesses,And filled its lairs with preyAnd its dens with mangled flesh?",Ninguno
Nahum,2,14,"הנני אליך נאם יהוה צבאות והבערתי בעשן רכבה וכפיריך תאכל חרב והכרתי מארץ טרפך ולאישמע עוד קול מלאככה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","I am going to deal with you—declares  GOD of Hosts:I will burn down her chariots in smoke,qher chariots in smoke Emendation yields “your thicket in fire.” And the sword shall devour your great beasts;I will stamp out your killings from the earth,And the sound of your messengersrmessengers Emendation yields “devouring.” Shall be heard no more.",Ninguno
Nahum,3,1,הוי עיר דמים כלה כחש פרק מלאה לא ימיש טרף,"Ah, city of crime,Utterly treacherous,Full of violence,Where killing never stops!",Ninguno
Nahum,3,2,קול שוט וקול רעש אופן וסוס דהר ומרכבה מרקדה,"Crack of whipAnd rattle of wheel,Galloping steedAnd bounding chariot!",Ninguno
Nahum,3,3,"פרש מעלה ולהב חרב וברק חנית ורב חלל וכבד פגר ואין קצה לגויה <span class=""mam-kq""><span class=""mam-kq-k"">(יכשלו)</span> <span class=""mam-kq-q"">[וכשלו]</span></span> בגויתם","Charging cavalry,Flashing swords,And glittering spears!Hosts of slainAnd heaps of corpses,Dead bodies without number—They stumble over bodies.",Ninguno
Nahum,3,4,מרב זנוני זונה טובת חן בעלת כשפים המכרת גוים בזנוניה ומשפחות בכשפיה,"Because of the countless whoredoms of the whore,The winsome mistress of sorcery,Who ensnaredaensnared Meaning of Heb. uncertain. nations with her whoredomsAnd peoples with her sorcery,",Ninguno
Nahum,3,5,הנני אליך נאם יהוה צבאות וגליתי שוליך עלפניך והראיתי גוים מערך וממלכות קלונך,I am going to deal with you—declares  GOD of Hosts.I will lift up your skirts over your faceAnd display your nakedness to the nationsAnd your shame to kingdoms.,Ninguno
Nahum,3,6,והשלכתי עליך שקצים ונבלתיך ושמתיך כראי,I will throw loathsome things over youAnd disfigure youAnd make a spectacle of you.,Ninguno
Nahum,3,7,והיה כלראיך ידוד ממך ואמר שדדה נינוה מי ינוד לה מאין אבקש מנחמים לך,"All who see you will recoil from youAnd will say,“Nineveh has been ravaged!”Who will console her?Where shall I look forAnyone to comfort you?",Ninguno
Nahum,3,8,התיטבי מנא אמון הישבה ביארים מים סביב לה אשרחיל ים מים חומתה,"Were you any better than No-amon,bNo-amon Amon was the tutelary deity of No (Thebes; cf. Jer. 46.25), which the Assyrians had sacked in 663 BCE. Which sat by the Nile,Surrounded by water—Its rampart a river,criver Heb. “sea.” Its wall consisting of sea?",Ninguno
Nahum,3,9,כוש עצמה ומצרים ואין קצה פוט ולובים היו בעזרתך,"Populous CushAnd teeming Egypt,Put and the Libyans—They were herdher Heb. “your.” helpers.",Ninguno
Nahum,3,10,גםהיא לגלה הלכה בשבי גם עלליה ירטשו בראש כלחוצות ועלנכבדיה ידו גורל וכלגדוליה רתקו בזקים,"Yet even she was exiled,She went into captivity.Her babes, too, were dashed in piecesAt every street corner.Lots were cast for her nobles,And all her dignitaries were bound in chains.",Ninguno
Nahum,3,11,גםאת תשכרי תהי נעלמה גםאת תבקשי מעוז מאויב,You too shall be drunkAnd utterly overcome;eovercome Meaning of Heb. uncertain. You too shall seekA refuge from the enemy.,Ninguno
Nahum,3,12,כלמבצריך תאנים עםבכורים אםינועו ונפלו עלפי אוכל,All your forts are fig treesWithfWith Emendation yields “Your troops are”; cf. next verse. ripe fruit;If shaken they will fallInto the mouths of devourers.,Ninguno
Nahum,3,13,הנה עמך נשים בקרבך לאיביך פתוח נפתחו שערי ארצך אכלה אש בריחיך,"Truly, the troops within you are women;The gates of your land have opened themselvesTo your enemies;Fire has consumed your gate bars.",Ninguno
Nahum,3,14,מי מצור שאבילך חזקי מבצריך באי בטיט ורמסי בחמר החזיקי מלבן,"Draw water for the siege,Strengthen your forts;Tread the clay,Trample the mud,Grasp the brick mold!",Ninguno
Nahum,3,15,שם תאכלך אש תכריתך חרב תאכלך כילק התכבד כילק התכבדי כארבה,"There fire will devour you,The sword will put an end to you;It will devour you like the grub.Multiply like grubs,Multiply like locusts!gMultiply like grubs, Multiply like locusts Meaning of Heb. uncertain. ",Ninguno
Nahum,3,16,הרבית רכליך מכוכבי השמים ילק פשט ויעף,You had more tradersThan the sky has stars—The grubs cast their skins and fly away.,Ninguno
Nahum,3,17,מנזריך כארבה וטפסריך כגוב גבי החונים בגדרות ביום קרה שמש זרחה ונודד ולאנודע מקומו אים,"Your guards were like locusts,Your marshals like piles of hoppersThat settle on the stone fencesOn a chilly day;When the sun comes out, they fly away,And where they are nobody knows.",Ninguno
Nahum,3,18,נמו רעיך מלך אשור ישכנו אדיריך נפשו עמך עלההרים ואין מקבץ,"Your shepherds are slumbering,O king of Assyria;Your sheepmasters are lying inert;hlying inert Lit. “dwelling”; emendation yields “asleep.” Your people are scatterediscattered Meaning of Heb. uncertain. over the hills,And there is none to gather them.",Ninguno
Nahum,3,19,איןכהה לשברך נחלה מכתך כל&thinsp;<b></b> שמעי שמעך תקעו כף עליך כי עלמי לאעברה רעתך תמיד,"There is no healingjhealing Heb. kehah, a variant of gehah; see Prov. 17.22. for your injury;Your wound is grievous.All who hear the news about youClap their hands over you.For who has not sufferedFrom your constant malice?",Ninguno
