Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Haggai,2,9,"גדול יהיה כבוד הבית הזה האחרון מןהראשון אמר יהוה צבאות ובמקום הזה אתן שלום נאם יהוה צבאות&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","The glory of this latter House shall be greater than that of the former one, said GOD of Hosts; and in this place I will grant prosperity—declares GOD of Hosts.",Ninguno
Haggai,2,10,בעשרים וארבעה לתשיעי בשנת שתים לדריוש היה דבריהוה אלחגי הנביא לאמר,"On the twenty-fourth day of the ninth [month], in the second year of Darius, the word of GOD came to the prophet Haggai:",Ninguno
Haggai,2,11,כה אמר יהוה צבאות שאלנא אתהכהנים תורה לאמר,"Thus said GOD of Hosts: Seek a ruling from the priests, as follows: ",Ninguno
Haggai,2,12,הן&thinsp;<b></b> ישאאיש בשרקדש בכנף בגדו ונגע בכנפו אלהלחם ואלהנזיד ואלהיין ואלשמן ואלכלמאכל היקדש ויענו הכהנים ויאמרו לא,"If someone is carrying sacrificial flesh in a fold of their garment, and with that fold touches bread, stew, wine, oil, or any other food, will the latter become holy? In reply, the priests said, “No.” ",Ninguno
Haggai,2,13,ויאמר חגי אםיגע טמאנפש בכלאלה היטמא ויענו הכהנים ויאמרו יטמא,"Haggai went on, “If someone defiled by a corpse touches any of these, will it be defiled?” And the priests responded, “Yes.”",Ninguno
Haggai,2,14,ויען חגי ויאמר כן העםהזה וכןהגוי הזה לפני נאםיהוה וכן כלמעשה ידיהם ואשר יקריבו שם טמא הוא,"Thereupon Haggai said: That is how this people and that is how this nation looks to Me—declares GOD—and so, too, the work of their hands: Whatever they offer there is defiled. ",Ninguno
Haggai,2,15,ועתה שימונא לבבכם מןהיום הזה ומעלה מטרם שוםאבן אלאבן בהיכל יהוה,"And now take thought, from this day backward:abackward Or “forward.” As long as no stone had been laid on another in the House of GOD, ",Ninguno
Haggai,2,16,מהיותם בא אלערמת עשרים והיתה עשרה בא אלהיקב לחשף חמשים פורה והיתה עשרים,"if one came to a heap of twenty measures,bheap of twenty measures Of grain. it would yield only ten; and if one came to a wine vat to skim off fifty measures, the press would yield only twenty. ",Ninguno
Haggai,2,17,הכיתי אתכם בשדפון ובירקון ובברד את כלמעשה ידיכם ואיןאתכם אלי נאםיהוה,"I struck you—all the works of your hands—with blight and mildew and hail, but you did not returncyou did not return Lit. “there was not with you to Me”; cf. Amos 4.9. to Me—declares GOD. ",Ninguno
Haggai,2,18,שימונא לבבכם מןהיום הזה ומעלה מיום עשרים וארבעה לתשיעי למןהיום אשריסד היכליהוה שימו לבבכם,"Take note, from this day forward—from the twenty-fourth day of the ninth month, from the day when the foundation was laid for GOD’s Temple—take note ",Ninguno
Haggai,2,19,"העוד הזרע במגורה ועדהגפן והתאנה והרמון ועץ הזית לא נשא מןהיום הזה אברך&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","while the seed is still in the granary, and the vine, fig tree, pomegranate, and olive tree have not yet borne fruit. For from this day on I will send blessings.",Ninguno
Haggai,2,20,ויהי דבריהוה&thinsp;<small></small>&thinsp;שנית אלחגי בעשרים וארבעה לחדש לאמר,And the word of GOD came to Haggai a second time on the twenty-fourth day of the month:,Ninguno
Haggai,2,21,אמר אלזרבבל פחתיהודה לאמר אני מרעיש אתהשמים ואתהארץ,Speak to Zerubbabel the governor of Judah: I am going to shake the heavens and the earth.,Ninguno
Haggai,2,22,והפכתי כסא ממלכות והשמדתי חזק ממלכות הגוים והפכתי מרכבה ורכביה וירדו סוסים ורכביהם איש בחרב אחיו,"And I will overturn the thrones of kingdoms and destroy the might of the kingdoms of the nations. I will overturn chariots and their drivers. Horses and their riders shall fall, each by the sword of his fellow. ",Ninguno
Haggai,2,23,ביום ההוא נאםיהוה צבאות אקחך זרבבל בןשאלתיאל עבדי נאםיהוה ושמתיך כחותם כיבך בחרתי נאם יהוה צבאות,"On that day—declares GOD of Hosts—I will take you, O My servant Zerubbabel son of Shealtiel—declares GOD—and make you as a signet;dmake you as a signet I.e., bring you close to Me; contrast Jer. 22.24–30. for I have chosen you—declares GOD of Hosts.",Ninguno
