Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Jeremiah,2,18,ועתה מהלך לדרך מצרים לשתות מי שחור ומהלך לדרך אשור לשתות מי נהר,"What, then, is the good of your going to EgyptTo drink the waters of the Nile?And what is the good of your going to AssyriaTo drink the waters of the Euphrates?",Ninguno
Jeremiah,2,19,תיסרך רעתך ומשבותיך תוכחך ודעי וראי כירע ומר עזבך אתיהוה אלהיך ולא פחדתי אליך נאםאדני יהוה צבאות,"Let your misfortune reprove you,Let your afflictions rebuke you;Mark well how bad and bitter it isThat you forsake  the ETERNAL your God,That awe for Me is not in you—declares my Sovereign  GOD of Hosts.",Ninguno
Jeremiah,2,20,"כי מעולם שברתי עלך נתקתי מוסרותיך ותאמרי לא <span class=""mam-kq""><span class=""mam-kq-k"">(אעבוד)</span> <span class=""mam-kq-q"">[אעבור]</span></span> כי עלכלגבעה גבהה ותחת כלעץ רענן את צעה זנה","For long ago youfyou For the form, cf. shaqqamti, Judg. 5.7; in contrast to others “I.” broke your yoke,Tore off your yoke-bands,And said, “I will not work!”gwork Following the kethib; qere “transgress.” On every high hill and under every verdant tree,You recline as a whore.",Ninguno
Jeremiah,2,21,ואנכי נטעתיך שורק כלה זרע אמת ואיך נהפכת לי סורי הגפן נכריה,"I planted you with noble vines,All with choicest seed;Alas, I find you changedInto a base, an alien vine!",Ninguno
Jeremiah,2,22,כי אםתכבסי בנתר ותרבילך ברית נכתם עונך לפני נאם אדני יהוה,"Though you wash with natronAnd use much lye,Your guilt is ingrained before Me—declares my Sovereign  GOD.",Ninguno
Jeremiah,2,23,איך תאמרי לא נטמאתי אחרי הבעלים לא הלכתי ראי דרכך בגיא דעי מה עשית בכרה קלה משרכת דרכיה,"How can you say, “I am not defiled,I have not gone after the Baalim”?Look at your deeds in the Valley,hValley Of Hinnom; cf. 7.31–32; 32.35. Consider what you have done!Like a lustful she-camel,Restlessly running about,iRestlessly running about Meaning of Heb. uncertain. ",Ninguno
Jeremiah,2,24,"פרה&thinsp;<b></b> למד מדבר באות <span class=""mam-kq""><span class=""mam-kq-k"">(נפשו)</span> <span class=""mam-kq-q"">[נפשה]</span></span> שאפה רוח תאנתה מי ישיבנה כלמבקשיה לא ייעפו בחדשה ימצאונה","Or like a wild ass used to the desert,Snuffing the wind in her eagerness,Whose passion none can restrain,None that seek her need grow weary—In her season, they’ll find her!",Ninguno
Jeremiah,2,25,"מנעי רגלך מיחף <span class=""mam-kq""><span class=""mam-kq-k"">(וגורנך)</span> <span class=""mam-kq-q"">[וגרונך]</span></span> מצמאה ותאמרי נואש לוא כיאהבתי זרים ואחריהם אלך","Save your foot from going bare,And your throat from thirst.But you say, “It is no use.No, I love the strangers,jstrangers I.e., other gods. And after them I must go.”",Ninguno
Jeremiah,2,26,כבשת גנב כי ימצא כן הבישו בית ישראל המה מלכיהם שריהם וכהניהם ונביאיהם,"Like a thief chagrined when caught,So is the House of Israel chagrined—They, their kings, their officers,And their priests and prophets.",Ninguno
Jeremiah,2,27,"אמרים לעץ אבי אתה ולאבן את <span class=""mam-kq""><span class=""mam-kq-k"">(ילדתני)</span> <span class=""mam-kq-q"">[ילדתנו]</span></span> כיפנו אלי ערף ולא פנים ובעת רעתם יאמרו קומה והושיענו","They said to wood, “You are my father,”To stone, “You gave birth to me,”While to Me they turned their backsAnd not their faces.But in their hour of calamity they cry,“Arise and save us!”",Ninguno
